b_alias,b_area,b_id,b_name,b_room_count,lat,lon,default_map_scale,default_map_id,default_map_name,default_map_width,default_map_height,maps_json
"",Sonstiges,0000,Sonstiges,13,48.14903,11.56735,,,,,,[]
U-Trakt,München - Stammgelände Nord,0101,N1,439,48.15043520999847,11.568332964253916,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
Hochvolthaus,München - Stammgelände Nord,0102,N2,125,48.150540319780404,11.567373387837462,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
El. Masch. / Geräte,München - Stammgelände Nord,0103,N3,282,48.151143673378684,11.567722807804218,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
Elektrophysik,München - Stammgelände Nord,0104,N4,181,48.15089026150568,11.568500696939621,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
Neubau Elektrotechnik,München - Stammgelände Nord,0105,N5,265,48.150728301311,11.569062265262712,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
Materialprüfungsamt,München - Stammgelände Nord,0106,N6,0,48.15011114014932,11.569205560445468,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
Verfügungsgebäude,München - Stammgelände Nord,0108,N8,6,48.150563917657294,11.56953889395835,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
"",München - Stammgelände Süd,0201,Gabelsbergerstr. 43,22,48.14775450574333,11.566933615914824,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
"",München - Stammgelände Süd,0202,Gabelsbergerstr. 39,0,48.147610518997475,11.567449905995257,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
"",München - Stammgelände Süd,0203,Gabelsbergerstr. 45,0,48.14783448205959,11.566677607294762,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
"",München - Stammgelände Süd,0204,Gabelsbergerstr. 49,0,48.14795886528605,11.566273394860051,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
"",München - Stammgelände Süd,0205,Arcisstr. 19,4,48.147534907990746,11.567685491408852,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
Mensa,München - Stammgelände Süd,0206,Arcisstr. 17,2,48.14733284101239,11.567205935570856,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
LRZ alt,München - Stammgelände Südost,0305,S5,0,48.14610961319381,11.56956792619537,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
RiWa,München - Stammgelände Südwest,0401,Richard-Wagner-Str. 18,127,48.14854437965052,11.564145106803837,4000,rf12,Stammgelände Basiskarte,501,484,"[[""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]"
