building_key,address_place,address_street,address_zip_code,area_id,name,tumonline_id,filter_id
0101,München,Theresienstr. 90,80333,27,(N1) Hörsäle (U-Trakt),561,
0102,München,Theresienstr. 90,80333,27,(N2) Hochvolthaus,562,
0103,München,Theresienstr. 90,80333,27,(N3) El.Masch./Geräte,563,
0104,München,Theresienstr. 90,80333,27,(N4) Elektro Physik,564,
0105,München,Theresienstr. 90,80333,27,(N5) Elektrotechnik,565,
0106,München,Theresienstr. 90,80333,27,(N6) Materialprüfamt,566,
0108,München,Theresienstr. 90,80333,27,(N8) Verfügungsgebäude,567,
0109,München,Theresienstr. 90,80333,27,(N9) Reflexionsarmer Raum,1849,
0201,München,Gabelsbergerstr. 43,80333,26,"(S1) Gabelsbergerstr. 43, StudiTUM",568,
0202,München,Gabelsbergerstr. 39,80333,26,(S2) Gabelsbergerstr. 39,569,
0203,München,Gabelsbergerstr. 45,80333,26,(S3) Gabelsbergerstr. 45,570,
0204,München,Gabelsbergerstr. 49,80333,26,(S4) Gabelsbergerstr. 49,571,
0205,München,Arcisstr. 19,80333,26,(S5) Arcisstr. 19,572,
0206,München,Arcisstr. 17,80333,26,(S6) Mensa Arcisstraße 17,573,
0305,München,Barerstr. 21,80333,25,(Südost 1) Barer Straße 21,574,
0401,München,Richard-Wagner-Str. 18,80333,24,(SW1) Richard-Wagner-Str. 18,575,
0403,München,Richard-Wagner-Str. 14,80333,24,(SW3) Friedrich Schiedel-Kindergarten (L,576,
0501,München,Arcisstr. 21,80333,23,(Z1) Institutsbau,577,
0502,München,Arcisstr. 21,80333,23,(Z2) Zentralgebäude 2,578,
0503,München,Arcisstr. 21,80333,23,(Z3) Thierschbau,579,
0504,München,Arcisstr. 21,80333,23,(Z4) Landwirtschaftsbau,580,
0505,München,Arcisstr. 21,80333,23,(Z5) Wirtschaftswissenschaften,581,
0506,München,Arcisstr. 21,80333,23,(Z6) Theresianum,582,
0507,München,Arcisstr. 21,80333,23,(Z7) Zentralgebäude 7,583,
0508,München,Arcisstr. 21,80333,23,(Z8) Wärmekraftwerk/Hydr.-Inst.,584,
0509,München,Arcisstr. 21,80333,23,(Z9) Neubau Innenhof,585,
0510,München,Arcisstr. 21,80333,23,(Z10) Verwaltungsbau,586,
0511,München,Arcisstr. 21,80333,23,(Z11) Elektro/Werkstatt/Lösungsmittel-Bu,587,
0512,München,Arcisstr. 21,80333,23,(Z12) Garagen,588,
0597,München,Arcisstr. 21,80333,23,Vorplatz Audi-Max,3309,
1501,München,Ismaninger Str. 22,81675,22,Chirurgische Klinik,1037,
1503,München,Ismaningerstr. 22,81675,22,"Augen, HNO, I.Med., III.Med.",1772,
1514,München,Trogerstr. 9,81675,22,Interdisziplinäres Forschungsgebäude,1035,
1533,München,Trogerstr. 8,81675,22,"Trogerstr. 8, Pers.Rar-Sch.beh.",1769,
1536,München,Trogerstr. 14,81675,22,"Trogerstr. 14, Seminargebäude Geschichte",1027,
1538,München,Trogerstr. 18,81675,22,"Trogerstr. 18, Pathologie",1029,
1548,München,Schneckenburgerstr. 8,81675,22,"GSF-Container, Inst. Virologie",1030,
1551,München,Ismaninger Str. 22,81675,22,"A1-Hörsäle, Mensa",1031,
1559,München,Trogerstr. 30,81675,22,Mikrobiologie/Virologie,1033,
1601,München,Biedersteiner Str. 29,80802,21,"Altbau 1, Vorklinik. Inst.",1018,
1602,München,Biedersteiner Str. 29,80802,21,"Altbau 2+3, Anatomisches Institut",1019,
1603,München,Biedersteiner Str. 29,80802,21,"Altbau 2+3, Biologisches Institut",1020,
1607,München,Dietlindenstr./Biedersteiner Str. 29,80802,21,"Altbau 7, Institut für Pharmakologie und",1021,
1608,München,Dietlindenstr./Biedersteiner Str. 29,80802,21,"Altbau 8, Institut für Medizinische Mikr",1022,
1713,München,Nigerstr. 3,81675,29,Nigerstr. 3 (AM),1036,
1724,München,Prinzregentenstraße 68,81675,29,Prinzregentenstr. 68 (AM) MRI,2309,
1740,München,Neherstraße 1,81675,29,Neherstr.1 (AM) ForTe,2909,
1901,Heilbronn,Bildungscampus 2,74076,243,Bildungscampus D,2369,
1902,Heilbronn,Bildungscampus 9,74076,243,Bildungscampus L,2370,
1910,Heilbronn,Weipertstr. 8-10,74076,243,Bildungscampus C,3189,
1912,Heilbronn,Edisonstr. 3,74076,243,Edisonstr.3,3449,
1915,Heilbronn,Etzelstr. 38,74076,243,Bildungscampus/Etzelstr.38,3191,
2103,München,Schragenhofstr. 31,80992,20,Werkstattgebäude,614,
2104,München,Schragenhofstr. 31,80992,20,Laborgebäude,615,
2105,München,Schragenhofstr. 31,80992,20,Trafo und Lager,616,
