canteen_id,date,position,name,dish_type,prices_json,labels_json,source_url,last_update
mensa-arcisstr,2026-06-17,0,Pasta Quattro formaggi (tier.Lab),Pasta,"{""students"":{""base_price"":1.0,""price_per_unit"":0.9,""unit"":""100g""},""staff"":{""base_price"":1.0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":1.0,""price_per_unit"":1.6,""unit"":""100g""}}","[""CEREAL"",""GLUTEN"",""LACTOSE"",""MEAT"",""MILK"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,1,"Pizza Elsässer Art mit Sauerrahm, Zwiebeln, Speck und Käse",Pizza,"{""students"":{""base_price"":5.0,""price_per_unit"":0.0,""unit"":""100g""},""staff"":{""base_price"":5.5,""price_per_unit"":0.0,""unit"":""100g""},""guests"":{""base_price"":6.5,""price_per_unit"":0.0,""unit"":""100g""}}","[""ANTIOXIDANTS"",""BARLEY"",""CEREAL"",""GLUTEN"",""LACTOSE"",""MEAT"",""MILK"",""PHOSPHATES"",""PORK"",""PRESERVATIVES"",""SOY"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,2,Flammkuchen mit buntem Gemüse,Pizza,"{""students"":{""base_price"":5.0,""price_per_unit"":0.0,""unit"":""100g""},""staff"":{""base_price"":5.5,""price_per_unit"":0.0,""unit"":""100g""},""guests"":{""base_price"":6.5,""price_per_unit"":0.0,""unit"":""100g""}}","[""BARLEY"",""CEREAL"",""GLUTEN"",""LACTOSE"",""MEAT"",""MILK"",""SOY"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,3,Fleischpflanzerl (1 Stück) mit Kümmelsauce,Grill,"{""students"":{""base_price"":1.0,""price_per_unit"":0.9,""unit"":""100g""},""staff"":{""base_price"":1.0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":1.0,""price_per_unit"":1.6,""unit"":""100g""}}","[""BEEF"",""CEREAL"",""CHICKEN_EGGS"",""GARLIC"",""GLUTEN"",""LACTOSE"",""MEAT"",""MILK"",""MUSTARD"",""PORK"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,4,Köttbullar (9 Stück) mit Kräuterdip,Grill,"{""students"":{""base_price"":1.0,""price_per_unit"":0.9,""unit"":""100g""},""staff"":{""base_price"":1.0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":1.0,""price_per_unit"":1.6,""unit"":""100g""}}","[""BEEF"",""CEREAL"",""CHICKEN_EGGS"",""GARLIC"",""GLUTEN"",""LACTOSE"",""MEAT"",""MILK"",""PORK"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,5,Gebratener Räuchertofu mit Gemüse (scharf),Grill,"{""students"":{""base_price"":0,""price_per_unit"":0.9,""unit"":""100g""},""staff"":{""base_price"":0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":0,""price_per_unit"":1.6,""unit"":""100g""}}","[""CEREAL"",""GLUTEN"",""SOY"",""VEGAN"",""VEGETARIAN"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,6,"Wokgemüse mit Mini-Frühlingsrollen , dazu Erdnüsse",Wok,"{""students"":{""base_price"":0,""price_per_unit"":0.9,""unit"":""100g""},""staff"":{""base_price"":0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":0,""price_per_unit"":1.6,""unit"":""100g""}}","[""CELERY"",""CEREAL"",""GARLIC"",""GLUTEN"",""MUSTARD"",""PEANUTS"",""PRESERVATIVES"",""SESAME"",""SHELL_FRUITS"",""SOY"",""VEGAN"",""VEGETARIAN"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,7,Linseneintopf mit Gemüse,Studitopf,"{""students"":{""base_price"":0,""price_per_unit"":0.33,""unit"":""100g""},""staff"":{""base_price"":0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":0,""price_per_unit"":1.6,""unit"":""100g""}}","[""ANTIOXIDANTS"",""CELERY"",""DYESTUFF"",""SULFITES"",""SULPHURS"",""VEGAN"",""VEGETARIAN""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,8,"Vegane Gulaschsuppe mit Soja, Kartoffeln und Paprika",Studitopf,"{""students"":{""base_price"":0,""price_per_unit"":0.33,""unit"":""100g""},""staff"":{""base_price"":0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":0,""price_per_unit"":1.6,""unit"":""100g""}}","[""SOY"",""VEGAN"",""VEGETARIAN""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
mensa-arcisstr,2026-06-17,9,Quinoa-Grünkern-Strudel mit Sauerrahm-Dip,Vegetarisch/fleischlos,"{""students"":{""base_price"":0,""price_per_unit"":0.9,""unit"":""100g""},""staff"":{""base_price"":0,""price_per_unit"":1.15,""unit"":""100g""},""guests"":{""base_price"":0,""price_per_unit"":1.6,""unit"":""100g""}}","[""BARLEY"",""CELERY"",""CEREAL"",""DYESTUFF"",""GARLIC"",""GLUTEN"",""LACTOSE"",""MILK"",""MUSTARD"",""SOY"",""VEGETARIAN"",""WHEAT""]",https://tum-dev.github.io/eat-api/#!/de/mensa-arcisstr,2026-06-17
