raum_nr_architekt,gebaeude_code
0.001@5532,5532
0.002@5532,5532
0.003@5532,5532
0.01.19@8102,8102
0.01.21@8102,8102
0.01.22@8102,8102
0.01.23@8102,8102
0.01.24@8102,8102
0.01.25@8102,8102
0.01.26@8102,8102
0.01@0201,0201
0.03@0201,0201
0.06@0201,0201
00.07.037@5607,5607
00.08.057@5608,5608
00.150a@3505,3505
00.153@3505,3505
00.160@3505,3505
00.220@3505,3505
00.230@3505,3505
00.250@3505,3505
00.270@3505,3505
00.280@3505,3505
00.380@3505,3505
00.510@3505,3505
00.520@3505,3505
01.03.010@5603,5603
01.03.031B@5603,5603
01.03.032@5603,5603
01.03.033A@5603,5603
01.03.033B@5603,5603
01.03.035A@5603,5603
01.03.035B@5603,5603
01.03.036@5603,5603
01.03.037A@5603,5603
01.03.037B@5603,5603
01.03.039A@5603,5603
01.03.039B@5603,5603
01.03.040@5603,5603
01.03.041A@5603,5603
01.03.043A@5603,5603
01.03.043B@5603,5603
01.04.011@5604,5604
01.06.011@5606,5606
01.06.020@5606,5606
01.07.011B@5607,5607
01.07.034@5607,5607
01.08.022B@5608,5608
01.12.020B@5612,5612
01.20@3515,3515
02.05.011B@5605,5605
02.06.020@5606,5606
02.07.011B@5607,5607
02.09.011B@5609,5609
02.09.012@5609,5609
02.10.011@5610,5610
02.12.020@5612,5612
02.13.009B@5613,5613
02.17@3515,3515
03.08.022@5608,5608
03.10.011@5610,5610
03.11.034@5611,5611
03.12.020@5612,5612
1.01@0201,0201
1.02@0201,0201
1.03@0201,0201
1.07@0201,0201
1.08@0201,0201
1.101@5304,5304
1.101@5532,5532
1.102@5532,5532
1.103@5532,5532
1.106@5532,5532
1.107@5532,5532
1.112@5532,5532
1.113@5532,5532
101@0206,0206
1025H@5510,5510
102@0206,0206
11150@5401,5401
1140@0501,0501
1350@5503,5503
1450@5504,5504
1550@5505,5505
2.01@0201,0201
2.02@0201,0201
2.03@0201,0201
2.04@0201,0201
2.07@0201,0201
2.08@0201,0201
2.09@0201,0201
2.201@5532,5532
2.202@5532,5532
2.203@5532,5532
2.204@5532,5532
2.205@5532,5532
2.206@5532,5532
2.207@5532,5532
2.212@5532,5532
2.213@5532,5532
3.01@0201,0201
3.02@0201,0201
3.03@0201,0201
3.06@0201,0201
3.09@0201,0201
3.302@5532,5532
3.305@5532,5532
3235@5101,5101
35.0.1@2535,2535
35.0.2@2535,2535
35.0.3@2535,2535
35.0.4@2535,2535
35.1.1@2535,2535
35.1.2@2535,2535
35.1.3@2535,2535
35.1.4@2535,2535
35.2.1@2535,2535
35.2.2@2535,2535
35.2.3@2535,2535
35.2.4@2535,2535
35.3.1@2535,2535
BC2 0.01.18@8102,8102
D 11@4113,4113
D 5@4113,4113
D 6@4113,4113
D 7@4113,4113
DG.29@3515,3515
EG 4@4113,4113
K 2@4113,4113
K 3@4113,4113
K 4@4113,4113
O1 2@4113,4113
O1 3@4113,4113
O1 5@4113,4113
O2 10@4113,4113
O2 2@4113,4113
O2 3@4113,4113
O2 4@4113,4113
O2 5@4113,4113
O2 6@4113,4113
Z.001@5532,5532
Z.002@5532,5532
Z.003@5532,5532
