id,desc,height,width,scale,latlonbox_north,latlonbox_south,latlonbox_east,latlonbox_west,latlonbox_rotation,file,source
rf10,Lageplan TUM,951,657,5000,48.1524440049,48.1407031925,11.5720980987,11.5601495784,2.93098878501e-14,rf10.webp,Roomfinder
rf100,FMI Garching BT04 1.OG,605,295,500,48.2623922745,48.2616521234,11.6692351229,11.6687007967,-15.7610714436,rf100.webp,Roomfinder
rf101,FMI Garching BT05 1.OG,605,295,500,48.263223499,48.2624848036,11.6688626768,11.668328636,-10.3610203266,rf101.webp,Roomfinder
rf102,FMI Garching BT06 1.OG,605,295,500,48.2624491279,48.2617089752,11.6689180365,11.6683837143,-15.7610714436,rf102.webp,Roomfinder
rf103,FMI Garching BT07 1.OG,605,295,500,48.2632793351,48.2625406375,11.668395612,11.6678615773,-10.3610203266,rf103.webp,Roomfinder
rf104,FMI Garching BT08 1.OG,605,295,500,48.2625262025,48.2617861816,11.6685017928,11.6679682931,-15.7610714436,rf104.webp,Roomfinder
rf105,FMI Garching BT09 1.OG,605,295,500,48.2633349857,48.262596204,11.6679386367,11.6674037751,-10.3610203266,rf105.webp,Roomfinder
rf106,FMI Garching BT10 1.OG,605,295,500,48.2626084903,48.2618684672,11.6680580096,11.6675245154,-15.7610714436,rf106.webp,Roomfinder
rf107,FMI Garching BT11 1.OG,605,295,500,48.2633791832,48.2626404816,11.6675829898,11.6670489655,-10.3610203266,rf107.webp,Roomfinder
rf108,FMI Garching BT12 1.OG,605,295,500,48.2626855408,48.2619455157,11.6676459574,11.6671124682,-15.7610714436,rf108.webp,Roomfinder
rf109,FMI Garching BT13 1.OG,605,295,500,48.263419054,48.2626803506,11.6672220567,11.6666880371,-10.3610203266,rf109.webp,Roomfinder
rf110,FMI Garching Magistrale EG,148,650,1000,48.2626794494,48.2623105611,11.669261568,11.6668942875,-10.3610203266,rf110.webp,Roomfinder
rf112,FMI Garching BT04 2.OG,605,295,500,48.2623922745,48.2616521234,11.6692351229,11.6687007967,-15.7610714436,rf112.webp,Roomfinder
rf113,FMI Garching BT04 3.OG,605,295,500,48.2623922745,48.2616521234,11.6692351229,11.6687007967,-15.7610714436,rf113.webp,Roomfinder
rf114,FMI Garching BT04 4.OG,605,295,500,48.2623922745,48.2616521234,11.6692351229,11.6687007967,-15.7610714436,rf114.webp,Roomfinder
rf115,FMI Garching BT05 2.OG,605,295,500,48.263223499,48.2624848036,11.6688626768,11.668328636,-10.3610203266,rf115.webp,Roomfinder
rf116,FMI Garching BT05 3.OG,605,295,500,48.263223499,48.2624848036,11.6688626768,11.668328636,-10.3610203266,rf116.webp,Roomfinder
rf117,FMI Garching BT05 4.OG,605,295,500,48.2632398515,48.2625011555,11.6687397185,11.6682056793,-10.3610203266,rf117.webp,Roomfinder
rf118,FMI Garching BT06 2.OG,605,295,500,48.2624491279,48.2617089752,11.6689180365,11.6683837143,-15.7610714436,rf118.webp,Roomfinder
rf119,FMI Garching BT06 3.OG,605,295,500,48.2624491279,48.2617089752,11.6689180365,11.6683837143,-15.7610714436,rf119.webp,Roomfinder
rf12,Stammgelände Basiskarte,484,501,4000,48.1513605477,48.1464320713,11.5716665221,11.5641018846,-23.4999992847,rf12.webp,Roomfinder
rf120,FMI Garching BT06 4.OG,605,295,500,48.2624800354,48.261739882,11.6687495155,11.6682151953,-15.7610714436,rf120.webp,Roomfinder
rf121,FMI Garching BT07 2.OG,605,295,500,48.2632793351,48.2625406375,11.668395612,11.6678615773,-10.3610203266,rf121.webp,Roomfinder
rf122,FMI Garching BT07 3.OG,605,295,500,48.2632793351,48.2625406375,11.668395612,11.6678615773,-10.3610203266,rf122.webp,Roomfinder
rf123,FMI Garching BT07 4.OG,605,295,500,48.2632793351,48.2625406375,11.668395612,11.6678615773,-10.3610203266,rf123.webp,Roomfinder
rf124,FMI Garching BT08 2.OG,605,295,500,48.2625262025,48.2617861816,11.6685017928,11.6679682931,-15.7610714436,rf124.webp,Roomfinder
rf125,FMI Garching BT08 3.OG,605,295,500,48.2625262025,48.2617861816,11.6685017928,11.6679682931,-15.7610714436,rf125.webp,Roomfinder
rf126,FMI Garching BT08 4.OG,605,295,500,48.2625262025,48.2617861816,11.6685017928,11.6679682931,-15.7610714436,rf126.webp,Roomfinder
rf127,FMI Garching BT09 2.OG,605,295,500,48.2633349857,48.262596204,11.6679386367,11.6674037751,-10.3610203266,rf127.webp,Roomfinder
rf128,FMI Garching BT09 3.OG,605,295,500,48.2633349857,48.262596204,11.6679386367,11.6674037751,-10.3610203266,rf128.webp,Roomfinder
rf129,FMI Garching BT09 4. OG,605,335,500,48.2633568779,48.2626179929,11.6678197919,11.6671913675,-10.3610203266,rf129.webp,Roomfinder
rf130,FMI Garching BT10 2.OG,605,295,500,48.2626084903,48.2618684672,11.6680580096,11.6675245154,-15.7610714436,rf130.webp,Roomfinder
rf131,FMI Garching BT10 3.OG,605,295,500,48.2626084903,48.2618684672,11.6680580096,11.6675245154,-15.7610714436,rf131.webp,Roomfinder
rf132,FMI Garching BT10 4.OG,605,295,500,48.2626344585,48.2618988018,11.6679120436,11.6673769484,-15.7610714436,rf132.webp,Roomfinder
rf133,FMI Garching BT11 2.OG,605,295,500,48.2633791832,48.2626404816,11.6675829898,11.6670489655,-10.3610203266,rf133.webp,Roomfinder
rf134,FMI Garching BT11 3.OG,605,295,500,48.2633791832,48.2626404816,11.6675829898,11.6670489655,-10.3610203266,rf134.webp,Roomfinder
rf135,FMI Garching BT11 4.OG,605,295,500,48.2633791832,48.2626404816,11.6675829898,11.6670489655,-10.3610203266,rf135.webp,Roomfinder
rf136,FMI Garching BT12 2.OG,605,295,500,48.2626855408,48.2619455157,11.6676459574,11.6671124682,-15.7610714436,rf136.webp,Roomfinder
rf137,FMI Garching BT12 3.OG,605,295,500,48.2626855408,48.2619455157,11.6676459574,11.6671124682,-15.7610714436,rf137.webp,Roomfinder
rf138,FMI Garching BT12 4.OG,605,295,500,48.2626855408,48.2619455157,11.6676459574,11.6671124682,-15.7610714436,rf138.webp,Roomfinder
rf139,FMI Garching BT13 2.OG,605,295,500,48.263419054,48.2626803506,11.6672220567,11.6666880371,-10.3610203266,rf139.webp,Roomfinder
rf14,Thierschbau EG,298,386,1200,48.1488534693,48.1479510623,11.5673200711,11.5655599404,-22.9999992847,rf14.webp,Roomfinder
rf140,FMI Garching BT13 3.OG,605,295,500,48.263419054,48.2626803506,11.6672220567,11.6666880371,-10.3610203266,rf140.webp,Roomfinder
rf141,FMI Garching BT13 4.OG,605,295,500,48.263419054,48.2626803506,11.6672220567,11.6666880371,-10.3610203266,rf141.webp,Roomfinder
rf142,FMI Übersicht,461,639,2000,48.2634089827,48.2610602829,11.6701789257,11.6653451935,2.93098878501e-14,rf142.webp,Roomfinder
rf143,FMI Garching BT01 UG,156,650,1000,48.2627192914,48.2622974248,11.6694723397,11.6668895716,-10.3610203266,rf143.webp,Roomfinder
rf144,FMI Garching BT02 UG,487,399,500,48.2628024724,48.2622042567,11.669435922,11.6687126826,-10.3610203266,rf144.webp,Roomfinder
rf145,FMI Garching BT04 UG,605,295,500,48.2623922745,48.2616521234,11.6692351229,11.6687007967,-15.7610714436,rf145.webp,Roomfinder
rf146,FMI Garching BT05 UG,605,295,500,48.263223499,48.2624848036,11.6688626768,11.668328636,-10.3610203266,rf146.webp,Roomfinder
rf147,FMI Garching BT06 UG,605,295,500,48.2624491279,48.2617089752,11.6689180365,11.6683837143,-15.7610714436,rf147.webp,Roomfinder
rf148,FMI Garching BT07 UG,605,295,500,48.2632844342,48.2625457364,11.668369768,11.6678357335,-10.3610203266,rf148.webp,Roomfinder
rf149,FMI Garching BT08 UG,605,295,500,48.2625262025,48.2617861816,11.6685017928,11.6679682931,-15.7610714436,rf149.webp,Roomfinder
rf15,Thierschbau 1. OG,298,386,1200,48.1488534693,48.1479510623,11.5673200711,11.5655599404,-22.9999992847,rf15.webp,Roomfinder
rf150,FMI Garching BT09 UG,605,295,500,48.2633349857,48.262596204,11.6679386367,11.6674037751,-10.3610203266,rf150.webp,Roomfinder
rf151,FMI Garching BT10 UG,605,326,500,48.2626184682,48.2618788849,11.6680332685,11.6674458825,-15.7610714436,rf151.webp,Roomfinder
rf152,FMI Garching BT11 UG,605,295,500,48.2633791832,48.2626404816,11.6675829898,11.6670489655,-10.3610203266,rf152.webp,Roomfinder
rf153,FMI Garching BT12 UG,605,295,500,48.2626855408,48.2619455157,11.6676459574,11.6671124682,-15.7610714436,rf153.webp,Roomfinder
rf154,FMI Garching BT13 UG,605,295,500,48.263419054,48.2626803506,11.6672220567,11.6666880371,-10.3610203266,rf154.webp,Roomfinder
rf156,München und Umgebung,515,420,400000,48.4236128844,47.9253849801,11.8899909647,11.2907718746,2.93098878501e-14,rf156.webp,Roomfinder
rf16,Thierschbau 2. OG,298,386,1200,48.1488534693,48.1479510623,11.5673200711,11.5655599404,-22.9999992847,rf16.webp,Roomfinder
rf160,WZ Weihenstephan Übersicht,777,640,10000,48.4111924014,48.392920931,11.7371732652,11.7146561844,0.071879863739,rf160.webp,Roomfinder
rf161,WZ Weihenstephan Mitte,402,640,5000,48.403147203,48.3975866291,11.7282893506,11.7150603316,0.071879863739,rf161.webp,Roomfinder
rf162,WZ Weihenstephan Süd,373,600,5000,48.3982201509,48.3939509243,11.7327298515,11.7224550468,0.071879863739,rf162.webp,Roomfinder
rf163,Biologikum EG,456,395,500,48.4001076666,48.3995277648,11.721028659,11.7202745333,0.071879863739,rf163.webp,Roomfinder
rf164,Biologikum 1.OG,456,395,500,48.4001076666,48.3995277648,11.721028659,11.7202745333,0.071879863739,rf164.webp,Roomfinder
rf165,Biologikum 2.OG,456,395,500,48.4001076666,48.3995277648,11.721028659,11.7202745333,0.071879863739,rf165.webp,Roomfinder
