org_id,code,name,path
1,TU00000,Technische Universität München,TUM
13946,TUPR000,Hochschulpräsidium,TUM/Hochschulpräsidium
13968,TUZVHR1,"Hochschulreferat 1 - Controlling, Organisation, Planung","TUM/Hochschulreferate/Controlling, Organisation, Planung"
14146,TUZESSZ,TUM Center for Study and Teaching,TUM/Zentrale Serviceeinrichtungen/TUM Center for Study and Teaching
14156,TUZVZA7,Zentrale Informationstechnik (ZIT),TUM/Zentrale Serviceeinrichtungen/IT-Servicezentrum (ITSZ)/Zentrale Informationstechnik (ZIT)
14178,TUMAFMA,Ehemalige Fakultät für Mathematik,TUM/Fakultäten/Ehemalige Fakultät für Mathematik
14179,TUPHFPH,Ehemalige Fakultät für Physik,TUM/Fakultäten/Ehemalige Fakultät für Physik
14180,TUCHFCH,Ehemalige Fakultät für Chemie,TUM/Fakultäten/Ehemalige Fakultät für Chemie
14181,TUWIFWI,Ehemalige Fakultät für Wirtschaftswissenschaften,TUM/Fakultäten/Ehemalige Fakultät für Wirtschaftswissenschaften
14184,TUBVFBV,Ehemalige Ingenieurfakultät Bau Geo Umwelt,TUM/Fakultäten/Ehemalige Ingenieurfakultät Bau Geo Umwelt
14185,TUARFAR,Ehemalige Fakultät für Architektur,TUM/Fakultäten/Ehemalige Fakultät für Architektur
14187,TUMWFMW,Ehemalige Fakultät für Maschinenwesen,TUM/Fakultäten/Ehemalige Fakultät für Maschinenwesen
14188,TUEIFEI,Ehemalige Fakultät für Elektrotechnik und Informationstechnik,TUM/Fakultäten/Ehemalige Fakultät für Elektrotechnik und Informationstechnik
14189,TUINFIN,Ehemalige Fakultät für Informatik,TUM/Fakultäten/Ehemalige Fakultät für Informatik
14190,TUWZFWZ,"Ehemaliges Wissenschaftszentrum Weihenstephan für Ernährung, Landnutzung und Umwelt","TUM/Fakultäten/Ehemaliges Wissenschaftszentrum Weihenstephan für Ernährung, Landnutzung und Umwelt"
14191,TUMEFME,Ehemalige Fakultät für Medizin,TUM/Fakultäten/Ehemalige Fakultät für Medizin
14195,TUSPFSP,Ehemalige Fakultät für Sport- und Gesundheitswissenschaften,TUM/Fakultäten/Ehemalige Fakultät für Sport- und Gesundheitswissenschaften
14209,TUPHDKN,Dekan/in Ehemalige Fakultät für Physik,TUM/Fakultäten/Ehemalige Fakultät für Physik/Dekan/in
14210,TUPHPDK,Prodekan Ehemalige Fakultät für Physik,TUM/Fakultäten/Ehemalige Fakultät für Physik/Prodekan
14211,TUPHSDK,Studiendekan,TUM/Fakultäten/Ehemalige Fakultät für Physik/Studiendekan
14212,TUPHZ51,Dekanat PH,TUM/Fakultäten/Ehemalige Fakultät für Physik/Fakultätsverwaltung/Dekanat PH
14213,TUPHZ50,Fakultätsverwaltung Ehemalige Fakultät für Physik,TUM/Fakultäten/Ehemalige Fakultät für Physik/Fakultätsverwaltung
14214,TUPHZEL,Elektronik,TUM/Fakultäten/Ehemalige Fakultät für Physik/Zentrale Einrichtungen des Departments/Elektronik
