org_id,code,name,path
1,TU00000,Technische Universität München,TUM
13946,TUPR000,TUM Board of Management,TUM/TUM Board of Management
13968,TUZVHR1,"Hochschulreferat 1 - Controlling, Organization, Planning (HR1)","TUM/Functional Units/Controlling, Organization, Planning (HR1)"
14146,TUZESSZ,TUM Center for Study and Teaching,TUM/Central Service Institutions/TUM Center for Study and Teaching
14156,TUZVZA7,Central Information Technology,TUM/Central Service Institutions/IT Service Center (ITSZ)/Central Information Technology
14178,TUMAFMA,Former TUM Department of Mathematics,TUM/Academic department/Former TUM Department of Mathematics
14179,TUPHFPH,Former TUM Department of Physics,TUM/Academic department/Former TUM Department of Physics
14180,TUCHFCH,Former TUM Department of Chemistry,TUM/Academic department/Former TUM Department of Chemistry
14181,TUWIFWI,Former TUM Department of Management,TUM/Academic department/Former TUM Department of Management
14184,TUBVFBV,"Former TUM Department of Civil, Geo and Environmental Engineering","TUM/Academic department/Former TUM Department of Civil, Geo and Environmental Engineering"
14185,TUARFAR,Former TUM Department of Architecture,TUM/Academic department/Former TUM Department of Architecture
14187,TUMWFMW,Former TUM Department of Mechanical Engineering,TUM/Academic department/Former TUM Department of Mechanical Engineering
14188,TUEIFEI,Former TUM Department of Electrical and Computer Engineering,TUM/Academic department/Former TUM Department of Electrical and Computer Engineering
14189,TUINFIN,Former TUM Department of Informatics,TUM/Academic department/Former TUM Department of Informatics
14190,TUWZFWZ,Former TUM Department of Life Sciences Weihenstephan,TUM/Academic department/Former TUM Department of Life Sciences Weihenstephan
14191,TUMEFME,Former TUM Department of Medicine,TUM/Academic department/Medicine
14195,TUSPFSP,Former TUM Department of Sport and Health Sciences,TUM/Academic department/Sport and Health Sciences
14209,TUPHDKN,Dean Former TUM Department of Physics,TUM/Academic department/Former TUM Department of Physics/Dean
14210,TUPHPDK,Vice Dean Prodekan Former TUM Department of Physics,TUM/Academic department/Former TUM Department of Physics/Vice Dean
14211,TUPHSDK,Dean of Studies,TUM/Academic department/Former TUM Department of Physics/Dean of Studies
14212,TUPHZ51,Dean's Office Dekanat PH,TUM/Academic department/Former TUM Department of Physics/Department Administration/Dean's Office
14213,TUPHZ50,Department Administration Former TUM Department of Physics,TUM/Academic department/Former TUM Department of Physics/Department Administration
14214,TUPHZEL,Electronics,TUM/Academic department/Former TUM Department of Physics/Central institutions of the academic department/Electronics
14215,TUPHZWS,Central Repair Shop,TUM/Academic department/Former TUM Department of Physics/Central institutions of the academic department/Central Repair Shop
14217,TUPHDEP,Physics Department,TUM/Academic department/Former TUM Department of Physics/Physics Department
14228,TUPHE11,Chair of Laser and X-ray Physics (Prof. Kienberger),TUM/Schools/Natural Sciences/Departments/Physics/Laser and X-ray Physics (Prof. Kienberger)
14372,TUPHSSK,Student Office Studiensekretariat PH,TUM/Academic department/Former TUM Department of Physics/Department Administration/Student Office
