room_key,address_place,address_street,address_zip_code,seats_sitting,seats_wheelchair,seats_standing,floor_type,floor_level,tumonline_id,area_id,building_id,main_operator_id,usage_id,alt_name,arch_name,calendar_resource_nr,patched
0101.01.101,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,39289,27,561,19691,222,"N1101, Flur",N1101@0101,,false
0101.01.101A,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,69428,27,561,19691,223,"N1101A, Treppe",N1101A@0101,,false
0101.01.102,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39294,27,561,19691,222,"N1102, Flur",N1102@0101,,false
0101.01.103,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39298,27,561,19691,222,"N1103, Flur",N1103@0101,,false
0101.01.103A,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,69393,27,561,19691,222,"N1103A, Flur",N1103A@0101,,false
0101.01.103B,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,69436,27,561,19691,222,"N1103B, Flur",N1103B@0101,,false
0101.01.104,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39301,27,561,19691,222,"N1104, Flur",N1104@0101,,false
0101.01.106,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,19229,27,561,45290,30,"N1106, Lager",N1106@0101,,false
0101.01.107,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39312,27,561,15392,30,"N1107, Lager",N1107@0101,,false
0101.01.107A,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39319,27,561,51897,2,"N1107A, Registratur u. Archiv",N1107A@0101,,false
0101.01.107B,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39322,27,561,47237,30,"N1107B, Lager",N1107B@0101,,false
0101.01.108,München,Theresienstr. 90,80333,,,,Kunststoff,1.OG,39327,27,561,55298,30,"N1108, Lager Medientechnik",N1108@0101,,false
0101.01.110A,München,Theresienstr. 90,80333,24,,,Linoleum,1.OG,7771,27,561,15396,211,"N1110A, Elektronikpraktikum",N1110A@0101,15047,false
0101.01.110B,München,Theresienstr. 90,80333,8,,,Linoleum,1.OG,7775,27,561,15396,208,"N1110B, Studentenarbeitsraum",N1110B@0101,18732,false
0101.01.110C,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,19332,27,561,51897,12,"N1110C, Hutzimmer",N1110C@0101,,false
0101.01.110D,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,7778,27,561,43787,12,"N1110D, Büro",N1110D@0101,,false
0101.01.110E,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,19338,27,561,51897,12,"N1110E, Hutzimmer",N1110E@0101,,false
0101.01.110F,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,19374,27,561,15367,211,"N1110F, Praktikum",N1110F@0101,28312,false
0101.01.111,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,7894,27,561,15396,12,"N1111, Büro",N1111@0101,,false
0101.01.112,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,7895,27,561,15396,12,"N1112, Büro",N1112@0101,,false
0101.01.113,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,7896,27,561,15396,12,"N1113, Büro",N1113@0101,,false
0101.01.114,München,Theresienstr. 90,80333,9,,,Linoleum,1.OG,7898,27,561,15396,208,"N1114, Studentenarbeitsplatz mit DV",N1114@0101,,false
0101.01.115,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,61792,27,561,15396,208,"N1115, Studentenarbeitsraum",N1115@0101,,false
0101.01.116,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,61793,27,561,15396,110,"N1116, Drucker",N1116@0101,,false
0101.01.117,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,61794,27,561,15396,12,"N1117, Büro",N1117@0101,,false
0101.01.118,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,61795,27,561,15396,12,"N1118, Büro",N1118@0101,,false
0101.01.120,München,Theresienstr. 90,80333,,,,Linoleum,1.OG,7905,27,561,15396,12,"N1120, Büro",N1120@0101,,false
0101.01.121,München,Theresienstr. 90,80333,,,,Spannteppich,1.OG,14370,27,561,15396,12,"N1121, Büro",N1121@0101,,false
0101.01.122,München,Theresienstr. 90,80333,,,,Spannteppich,1.OG,7912,27,561,15396,12,"N1122, Büro",N1122@0101,,false
0101.01.124A,München,Theresienstr. 90,80333,2,,,Spannteppich,1.OG,7914,27,561,15396,12,"N1124A, Büro",N1124A@0101,29293,false
0101.01.124B,München,Theresienstr. 90,80333,2,,,Linoleum,1.OG,19461,27,561,15396,12,"N1124B, Büro",N1124B@0101,,false
