id,name,short_name,arch_name
0101.02.157,"Fachschaft Bau, Geo und Umwelt",,
0101.EG.128,0101.EG.128,,
0104.U1.403,Fachschaft Elektrotechnik- und Informationstechnik,FSEI,
0104.U1.403A,Büro,,
0104.U1.412,Skriptenverkauf der Fachschaft EI,Skriptenverkauf FSEI,
0201.EG.004,WC,,
0201.01.005,WC,,
0201.03.004,WC,,
0201.01.006,WC,,
0201.03.005,WC,,
0201.EG.005,WC,,
0201.01.004,Besprechungsraum Studentische Vertretung / SV,,
0201.02.005,WC,,
0201.02.006,WC,,
0206.EG.002,Küche Studentische Vertretung / SV,,
0206.EG.003,Besprechungsraum Studentische Vertretung / SV,,
0507.01.767,Besprechungsraum,,
2907.01.130,Fachschaft Lehrertum/Lehramt/Educational Sciences,Lehramt,
0501.05.131,Vorhoelzer-Forum Dachterasse,,
0503.EG.347,Archiv,,
0504.03.407,Büro,,
0504.03.409,Büro,,
0505.03.577A,Fachschaft TUM SOM (Konferenzraum),FS SOM,
0505.03.574,Fachschaft TUM SOM (Büro / Help Desk),FS SOM,
0505.03.576A,Fachschaft TUM SOM (Büro / Lager),,
0505.03.529A,Fachschaft TUM SOM (Teeküche),FS SOM,
0505.03.572,TUM Speaker Series (Büro),FS SOM,
0509.EG.980,"Audimax, Werner-von-Siemens-Hörsaal",,
0509.02.953A,Think Tank / Teeküche,,1951
4210,ehem. Agrarsystemtechnik,,
4219.EG.040,Masterstudierende und Doktoranden LAT,,
4219.EG.044,Sekretariat LAT,,
4219.EG.045,Professor LAT,,
4219.EG.046,Konferenzraum LAT,,
4219.EG.048,Doktoranden LAT,,
4219.EG.041,Wissenschaftliche Mitarbeiter LAT,,
4219.EG.047,Büro Mitarbeiter LAT,,
5501.02.141,Small Workspace,Kleines Hutzimmer,
5501.02.142,Large Workspace,Großes Hutzimmer,
5506.02.619A,Reinraum Satelliten Integration,Sat. Integration,
5532.01.105,Besprechungsraum Studentische Vertretung / SV,,
5532.02.211,WC-Damen,,
5101.EG.257,Büro Fachschaft Mathe Physik Informatik Chemie / MPIC,,
5107.U1.114,Büro,,
5606.EG.036,Büro Fachschaft Mathe Physik Informatik Chemie / MPIC,MPIC Büro,
5606.EG.037,Besprechungsraum Fachschaft Mathe Physik Informatik Chemie / MPIC,MPIC Glaskasten,
5606.EG.038,Lager Fachschaft Mathe Physik Informatik Chemie / MPIC,"MPIC Lager""",
5606.EG.039,Skriptenverkauf Fachschaft Mathe Physik Informatik Chemie / MPIC,,
5607.EG.018,WC,,
5611.02.034,Tutor,,
5612.03.018,Graduate Center CIT,,
5401.01.101I,CIP-Raum,,
5406.01.650C,Büro Fachschaft Mathe Physik Informatik Chemie / MPIC,,
5502.U1.234M,Druckerei Fachschaft Maschinenbau / FSMB,FSMB Druckerei,
5501.EG.101,Fachschaft Maschinenbau / FSMB,,
5510.EG.011M,Skriptenverkauf Fachschaft Maschinenbau / FSMB,FSMB Skriptenverkauf,
5502.02.225,Wiss. Mitarbeiter,,
5510.EG.029,Zentrum für Schlüsselkompetenzen Kreativwerkstatt,ZSK Kreativwerkstatt,
5510.EG.026N,Study and Teaching Qualitätsmanagement,,
5510.EG.026M,School Office Finanzen,,
5510.EG.026A,"Leitung Study & Teaching, Studienfachberatung",,
5510.EG.015,Bachelorprüfungsausschuss,,
5510.EG.012A,Studienberatung,,
5510.EG.012,Bewerbungsmanagement und Praktikumsamt,,
5501.02.150,IKOM-Büro,,
5510.EG.026C,IKOM-Besprechungsraum,,
5510.EG.018,Büro,,
5506.EG.690C,Werkstatt Akaflieg München,Akaflieg Werkstatt,
5506.U1.632,Konstruktionsbüro Akaflieg München,Akaflieg KoBü,
7894.EG.302,TUM Venture Lab Additive Manufacturing,,
8120.EG.001,Hörsaal im Galileo,,
8120.01.101,Audimax im Galileo,,
8124.EG.016,Munich Design Institute,,
